# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.5           	2.577317e+00	1.288658e+00	1.288658e+00	-5.786822e-02	-3.328884e-02	-2.457938e-02	-4.354728e-03	-2.326790e-20	-3.142062e-20	-9.520036e-20	-7.902080e-20	-1.617956e-20
1             	2.266146e+00	1.133073e+00	1.133073e+00	-2.775418e-02	-1.501690e-02	-1.273728e-02	-1.139811e-03	-5.083044e-20	-3.158208e-20	-9.294306e-20	-7.805361e-20	-1.488944e-20
1.5           	2.369772e+00	1.184886e+00	1.184886e+00	-2.382840e-02	-1.243974e-02	-1.138867e-02	-5.255339e-04	-8.372571e-20	-3.610456e-20	-9.016043e-20	-8.118478e-20	-8.975654e-21
2             	2.533343e+00	1.266672e+00	1.266672e+00	-2.626667e-02	-1.342396e-02	-1.284270e-02	-2.906300e-04	-1.128780e-19	-4.058210e-20	-8.681757e-20	-8.399088e-20	-2.826684e-21
2.5           	2.661382e+00	1.330691e+00	1.330691e+00	-3.489279e-02	-1.760841e-02	-1.728438e-02	-1.620123e-04	-1.330644e-19	-4.416021e-20	-8.326534e-20	-8.579287e-20	2.527538e-21
3             	2.722844e+00	1.361422e+00	1.361422e+00	-4.563882e-02	-2.288297e-02	-2.275585e-02	-6.355776e-05	-1.433637e-19	-4.659932e-20	-7.975506e-20	-8.647685e-20	6.721792e-21
3.5           	2.721022e+00	1.360511e+00	1.360511e+00	-5.604997e-02	-2.800611e-02	-2.804385e-02	1.887096e-05	-1.461954e-19	-4.786486e-20	-7.622179e-20	-8.597576e-20	9.753963e-21
4             	2.679184e+00	1.339592e+00	1.339592e+00	-6.706921e-02	-3.344281e-02	-3.362640e-02	9.179620e-05	-1.449466e-19	-4.841837e-20	-7.281940e-20	-8.482807e-20	1.200867e-20
4.5           	2.620316e+00	1.310158e+00	1.310158e+00	-7.725679e-02	-3.847002e-02	-3.878676e-02	1.583686e-04	-1.424616e-19	-4.856993e-20	-6.960531e-20	-8.337259e-20	1.376727e-20
5             	2.561640e+00	1.280820e+00	1.280820e+00	-8.596363e-02	-4.274791e-02	-4.321572e-02	2.339043e-04	-1.400976e-19	-4.859057e-20	-6.656715e-20	-8.187415e-20	1.530700e-20
5.5           	2.508808e+00	1.254404e+00	1.254404e+00	-9.384319e-02	-4.659211e-02	-4.725108e-02	3.294875e-04	-1.382421e-19	-4.868023e-20	-6.376223e-20	-8.056134e-20	1.679911e-20
6             	2.462716e+00	1.231358e+00	1.231358e+00	-1.000263e-01	-4.956566e-02	-5.046064e-02	4.474892e-04	-1.367605e-19	-4.883800e-20	-6.118048e-20	-7.942824e-20	1.824776e-20
6.5           	2.422343e+00	1.211171e+00	1.211171e+00	-1.043584e-01	-5.159453e-02	-5.276383e-02	5.846493e-04	-1.355188e-19	-4.905887e-20	-5.878913e-20	-7.845343e-20	1.966430e-20
7             	2.385419e+00	1.192709e+00	1.192709e+00	-1.066020e-01	-5.256743e-02	-5.403453e-02	7.335467e-04	-1.343532e-19	-4.930064e-20	-5.644238e-20	-7.752183e-20	2.107945e-20
7.5           	2.352293e+00	1.176146e+00	1.176146e+00	-1.077036e-01	-5.296227e-02	-5.474131e-02	8.895239e-04	-1.332328e-19	-4.959123e-20	-5.421064e-20	-7.669655e-20	2.248591e-20
8             	2.321998e+00	1.160999e+00	1.160999e+00	-1.068753e-01	-5.239052e-02	-5.448475e-02	1.047113e-03	-1.321295e-19	-4.990578e-20	-5.203386e-20	-7.592271e-20	2.388885e-20
8.5           	2.294404e+00	1.147202e+00	1.147202e+00	-1.048110e-01	-5.120598e-02	-5.360501e-02	1.199516e-03	-1.310264e-19	-5.024299e-20	-4.993084e-20	-7.520840e-20	2.527757e-20
9             	2.269642e+00	1.134821e+00	1.134821e+00	-1.016190e-01	-4.947000e-02	-5.214899e-02	1.339493e-03	-1.299304e-19	-5.062341e-20	-4.788942e-20	-7.456812e-20	2.667870e-20
9.5           	2.247373e+00	1.123686e+00	1.123686e+00	-9.742721e-02	-4.725394e-02	-5.017327e-02	1.459663e-03	-1.288302e-19	-5.103786e-20	-4.593709e-20	-7.400640e-20	2.806931e-20
10            	2.227483e+00	1.113742e+00	1.113742e+00	-9.315865e-02	-4.502825e-02	-4.813041e-02	1.551080e-03	-1.277357e-19	-5.150247e-20	-4.408834e-20	-7.354664e-20	2.945830e-20
10.5          	2.208950e+00	1.104475e+00	1.104475e+00	-8.867869e-02	-4.273419e-02	-4.594451e-02	1.605158e-03	-1.266403e-19	-5.198683e-20	-4.227640e-20	-7.312503e-20	3.084863e-20
11            	2.191506e+00	1.095753e+00	1.095753e+00	-8.468932e-02	-4.073120e-02	-4.395812e-02	1.613459e-03	-1.255410e-19	-5.248813e-20	-4.050580e-20	-7.274103e-20	3.223523e-20
11.5          	2.175380e+00	1.087690e+00	1.087690e+00	-8.145143e-02	-3.915551e-02	-4.229592e-02	1.570207e-03	-1.244571e-19	-5.302178e-20	-3.883346e-20	-7.243851e-20	3.360505e-20
12            	2.160227e+00	1.080114e+00	1.080114e+00	-8.000822e-02	-3.853250e-02	-4.147572e-02	1.471609e-03	-1.233980e-19	-5.357916e-20	-3.725202e-20	-7.220517e-20	3.495316e-20
12.5          	2.145390e+00	1.072695e+00	1.072695e+00	-7.988231e-02	-3.862361e-02	-4.125870e-02	1.317542e-03	-1.223588e-19	-5.414916e-20	-3.571731e-20	-7.200782e-20	3.629051e-20
13            	2.131407e+00	1.065703e+00	1.065703e+00	-8.190331e-02	-3.983943e-02	-4.206388e-02	1.112228e-03	-1.213710e-19	-5.474216e-20	-3.431033e-20	-7.189732e-20	3.758699e-20
13.5          	2.118184e+00	1.059092e+00	1.059092e+00	-8.620019e-02	-4.223879e-02	-4.396141e-02	8.613098e-04	-1.204393e-19	-5.535891e-20	-3.303222e-20	-7.187502e-20	3.884279e-20
14            	2.105310e+00	1.052655e+00	1.052655e+00	-9.274237e-02	-4.579840e-02	-4.694396e-02	5.727815e-04	-1.195683e-19	-5.597635e-20	-3.189246e-20	-7.192259e-20	4.003012e-20
14.5          	2.092680e+00	1.046340e+00	1.046340e+00	-1.020612e-01	-5.077355e-02	-5.128768e-02	2.570657e-04	-1.187764e-19	-5.657269e-20	-3.091741e-20	-7.203140e-20	4.111399e-20
15            	2.080493e+00	1.040246e+00	1.040246e+00	-1.125425e-01	-5.634378e-02	-5.619875e-02	-7.251569e-05	-1.180433e-19	-5.712872e-20	-3.010274e-20	-7.218009e-20	4.207734e-20
15.5          	2.068567e+00	1.034283e+00	1.034283e+00	-1.243797e-01	-6.259027e-02	-6.178944e-02	-4.004126e-04	-1.173852e-19	-5.760457e-20	-2.948476e-20	-7.234695e-20	4.286218e-20
