# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.5           	2.710031e+00	1.355015e+00	1.355015e+00	-9.592074e-01	-5.460717e-01	-4.131357e-01	-6.646800e-02	1.161532e-19	7.909163e-20	3.525821e-20	9.672073e-20	-6.146252e-20
1             	2.337879e+00	1.168940e+00	1.168940e+00	-9.264451e-01	-5.063228e-01	-4.201222e-01	-4.310030e-02	1.831959e-19	4.672868e-20	1.261809e-20	5.303773e-20	-4.041963e-20
1.5           	2.435217e+00	1.217609e+00	1.217609e+00	-8.763087e-01	-4.690233e-01	-4.072855e-01	-3.086890e-02	2.676307e-19	3.187931e-20	8.888049e-22	3.232371e-20	-3.143490e-20
2             	2.605842e+00	1.302921e+00	1.302921e+00	-7.976437e-01	-4.198080e-01	-3.778356e-01	-2.098620e-02	3.420587e-19	3.430030e-20	5.091700e-21	3.684615e-20	-3.175445e-20
2.5           	2.744822e+00	1.372411e+00	1.372411e+00	-6.949126e-01	-3.602226e-01	-3.346900e-01	-1.276628e-02	3.939663e-19	4.319723e-20	1.408017e-20	5.023732e-20	-3.615715e-20
3             	2.816478e+00	1.408239e+00	1.408239e+00	-5.714072e-01	-2.921090e-01	-2.792981e-01	-6.405447e-03	4.206123e-19	4.974316e-20	1.860112e-20	5.904372e-20	-4.044260e-20
3.5           	2.820759e+00	1.410380e+00	1.410380e+00	-4.312626e-01	-2.174177e-01	-2.138450e-01	-1.786350e-03	4.272310e-19	5.024618e-20	1.534538e-20	5.791887e-20	-4.257350e-20
4             	2.781348e+00	1.390674e+00	1.390674e+00	-2.816606e-01	-1.392725e-01	-1.423881e-01	1.557797e-03	4.226603e-19	4.525791e-20	6.019365e-21	4.826760e-20	-4.224823e-20
4.5           	2.725627e+00	1.362814e+00	1.362814e+00	-1.303838e-01	-6.112713e-02	-6.925668e-02	4.064774e-03	4.142797e-19	3.764280e-20	-6.032967e-21	3.462632e-20	-4.065928e-20
5             	2.673407e+00	1.336704e+00	1.336704e+00	1.694683e-02	1.442969e-02	2.517131e-03	5.956282e-03	4.065390e-19	2.977458e-20	-1.816561e-20	2.069177e-20	-3.885738e-20
