# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.05          	3.765007e+00	1.882503e+00	1.882503e+00	-6.432170e-01	-3.531023e-01	-2.901147e-01	-3.149380e-02	-2.007729e-20	-3.908908e-20	-4.196369e-20	-6.007093e-20	1.810724e-20
0.1           	2.946284e+00	1.473142e+00	1.473142e+00	-2.707784e-01	-1.573720e-01	-1.134063e-01	-2.198286e-02	-1.132726e-20	-3.162921e-20	-4.568566e-20	-5.447204e-20	8.786379e-21
0.15          	2.425232e+00	1.212616e+00	1.212616e+00	-1.450847e-01	-8.794678e-02	-5.713795e-02	-1.540442e-02	-9.691959e-21	-2.682784e-20	-4.735844e-20	-5.050706e-20	3.148617e-21
0.2           	2.073226e+00	1.036613e+00	1.036613e+00	-8.757198e-02	-5.473084e-02	-3.284114e-02	-1.094485e-02	-9.073250e-21	-2.315615e-20	-4.863274e-20	-4.747252e-20	-1.160220e-21
0.25          	1.830359e+00	9.151794e-01	9.151794e-01	-5.637142e-02	-3.611412e-02	-2.025730e-02	-7.928413e-03	-8.527849e-21	-2.071633e-20	-4.906747e-20	-4.525006e-20	-3.817407e-21
0.3           	1.657749e+00	8.288747e-01	8.288747e-01	-3.743061e-02	-2.459128e-02	-1.283933e-02	-5.875974e-03	-8.543448e-21	-1.906123e-20	-4.925056e-20	-4.368651e-20	-5.564055e-21
0.35          	1.532013e+00	7.660064e-01	7.660064e-01	-2.463754e-02	-1.678262e-02	-7.854922e-03	-4.463849e-03	-8.994162e-21	-1.787787e-20	-4.930028e-20	-4.252801e-20	-6.772267e-21
0.4           	1.438679e+00	7.193394e-01	7.193394e-01	-1.569419e-02	-1.132467e-02	-4.369524e-03	-3.477570e-03	-9.686933e-21	-1.701936e-20	-4.928051e-20	-4.165962e-20	-7.620892e-21
0.45          	1.368238e+00	6.841190e-01	6.841190e-01	-9.054348e-03	-7.303995e-03	-1.750353e-03	-2.776821e-03	-1.058332e-20	-1.640862e-20	-4.919140e-20	-4.100432e-20	-8.187084e-21
0.5           	1.314598e+00	6.572990e-01	6.572990e-01	-4.341826e-03	-4.440498e-03	9.867127e-05	-2.269584e-03	-1.169781e-20	-1.597018e-20	-4.912402e-20	-4.053219e-20	-8.591829e-21
0.55          	1.272860e+00	6.364302e-01	6.364302e-01	-3.931827e-04	-2.091690e-03	1.698507e-03	-1.895099e-03	-1.288667e-20	-1.567408e-20	-4.900075e-20	-4.017445e-20	-8.826294e-21
0.6           	1.241254e+00	6.206272e-01	6.206272e-01	2.567350e-03	-3.294353e-04	2.896785e-03	-1.613110e-03	-1.416198e-20	-1.545296e-20	-4.885888e-20	-3.988240e-20	-8.976484e-21
0.65          	1.217154e+00	6.085771e-01	6.085771e-01	4.861927e-03	1.034398e-03	3.827529e-03	-1.396565e-03	-1.546884e-20	-1.540430e-20	-4.880204e-20	-3.980532e-20	-8.996723e-21
0.7           	1.198832e+00	5.994160e-01	5.994160e-01	6.571231e-03	2.058313e-03	4.512918e-03	-1.227303e-03	-1.685874e-20	-1.540074e-20	-4.874762e-20	-3.977455e-20	-8.973068e-21
0.75          	1.184792e+00	5.923961e-01	5.923961e-01	8.146268e-03	2.980407e-03	5.165861e-03	-1.092727e-03	-1.826922e-20	-1.537781e-20	-4.858973e-20	-3.967268e-20	-8.917059e-21
0.8           	1.174884e+00	5.874418e-01	5.874418e-01	9.294675e-03	3.663292e-03	5.631383e-03	-9.840456e-04	-1.977806e-20	-1.543405e-20	-4.848621e-20	-3.967715e-20	-8.809058e-21
0.85          	1.168173e+00	5.840866e-01	5.840866e-01	1.050315e-02	4.356135e-03	6.147017e-03	-8.954407e-04	-2.131273e-20	-1.556119e-20	-4.842324e-20	-3.977281e-20	-8.650427e-21
0.9           	1.164083e+00	5.820417e-01	5.820417e-01	1.096158e-02	4.658426e-03	6.303155e-03	-8.223642e-04	-2.294549e-20	-1.565770e-20	-4.827886e-20	-3.979713e-20	-8.481734e-21
0.95          	1.162340e+00	5.811699e-01	5.811699e-01	1.190799e-02	5.192463e-03	6.715526e-03	-7.615313e-04	-2.458679e-20	-1.580126e-20	-4.814516e-20	-3.987384e-20	-8.271323e-21
1             	1.162191e+00	5.810953e-01	5.810953e-01	1.251825e-02	5.548737e-03	6.969513e-03	-7.103880e-04	-2.626340e-20	-1.596948e-20	-4.801300e-20	-3.997598e-20	-8.037026e-21
1.05          	1.163783e+00	5.818914e-01	5.818914e-01	1.308696e-02	5.876296e-03	7.210667e-03	-6.671856e-04	-2.797152e-20	-1.616083e-20	-4.789585e-20	-4.010875e-20	-7.787097e-21
1.1           	1.166830e+00	5.834150e-01	5.834150e-01	1.369821e-02	6.218567e-03	7.479643e-03	-6.305381e-04	-2.970545e-20	-1.635420e-20	-4.776694e-20	-4.023767e-20	-7.529275e-21
1.15          	1.170993e+00	5.854967e-01	5.854967e-01	1.403105e-02	6.416355e-03	7.614693e-03	-5.991693e-04	-3.143537e-20	-1.657265e-20	-4.766010e-20	-4.040270e-20	-7.257402e-21
1.2           	1.176709e+00	5.883544e-01	5.883544e-01	1.458448e-02	6.719991e-03	7.864484e-03	-5.722464e-04	-3.318434e-20	-1.679630e-20	-4.752326e-20	-4.055793e-20	-6.965329e-21
1.25          	1.182084e+00	5.910419e-01	5.910419e-01	1.486809e-02	6.884947e-03	7.983143e-03	-5.490982e-04	-3.491726e-20	-1.701850e-20	-4.739267e-20	-4.071483e-20	-6.677840e-21
1.3           	1.189020e+00	5.945101e-01	5.945101e-01	1.541630e-02	7.178954e-03	8.237343e-03	-5.291943e-04	-3.666868e-20	-1.722062e-20	-4.722646e-20	-4.083385e-20	-6.392611e-21
1.35          	1.196578e+00	5.982891e-01	5.982891e-01	1.570452e-02	7.340293e-03	8.364224e-03	-5.119651e-04	-3.841585e-20	-1.745739e-20	-4.709611e-20	-4.100544e-20	-6.090666e-21
