# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.5           	2.472762e+00	1.236381e+00	1.236381e+00	-4.753586e-02	-2.603063e-02	-2.150523e-02	-2.262696e-03	-2.091266e-23	5.676870e-21	1.819404e-20	1.477389e-20	3.420148e-21
1             	2.229344e+00	1.114672e+00	1.114672e+00	-1.911562e-02	-1.022462e-02	-8.891006e-03	-6.668058e-04	-5.423908e-21	6.400948e-21	1.767215e-20	1.523702e-20	2.435127e-21
1.5           	2.348377e+00	1.174188e+00	1.174188e+00	-1.993989e-02	-1.032655e-02	-9.613345e-03	-3.566006e-04	-1.217773e-20	7.958865e-21	1.732233e-20	1.662003e-20	7.022985e-22
2             	2.518198e+00	1.259099e+00	1.259099e+00	-2.643985e-02	-1.346418e-02	-1.297567e-02	-2.442576e-04	-1.819802e-20	9.495104e-21	1.712948e-20	1.805984e-20	-9.303662e-22
2.5           	2.645255e+00	1.322628e+00	1.322628e+00	-3.525308e-02	-1.779089e-02	-1.746219e-02	-1.643496e-04	-2.195608e-20	1.054290e-20	1.678540e-20	1.893560e-20	-2.150202e-21
3             	2.701958e+00	1.350979e+00	1.350979e+00	-4.579210e-02	-2.298971e-02	-2.280239e-02	-9.365897e-05	-2.340266e-20	1.095740e-20	1.615974e-20	1.903727e-20	-2.877536e-21
3.5           	2.696576e+00	1.348288e+00	1.348288e+00	-5.698528e-02	-2.852364e-02	-2.846164e-02	-3.099877e-05	-2.332481e-20	1.087931e-20	1.533548e-20	1.854705e-20	-3.211570e-21
4             	2.653779e+00	1.326889e+00	1.326889e+00	-6.804773e-02	-3.399921e-02	-3.404853e-02	2.465980e-05	-2.260625e-20	1.053792e-20	1.446150e-20	1.776867e-20	-3.307169e-21
4.5           	2.597188e+00	1.298594e+00	1.298594e+00	-7.832742e-02	-3.908196e-02	-3.924547e-02	8.175603e-05	-2.182507e-20	1.010719e-20	1.363536e-20	1.692487e-20	-3.289513e-21
5             	2.540661e+00	1.270330e+00	1.270330e+00	-8.725454e-02	-4.347416e-02	-4.378038e-02	1.531141e-04	-2.121642e-20	9.673716e-21	1.289777e-20	1.612260e-20	-3.224832e-21
5.5           	2.489740e+00	1.244870e+00	1.244870e+00	-9.483679e-02	-4.717290e-02	-4.766389e-02	2.454923e-04	-2.079449e-20	9.263988e-21	1.225175e-20	1.538986e-20	-3.138115e-21
6             	2.444837e+00	1.222419e+00	1.222419e+00	-1.007646e-01	-5.002336e-02	-5.074128e-02	3.589623e-04	-2.050411e-20	8.879343e-21	1.168533e-20	1.472201e-20	-3.036677e-21
6.5           	2.404543e+00	1.202272e+00	1.202272e+00	-1.051114e-01	-5.206549e-02	-5.304586e-02	4.901867e-04	-2.029073e-20	8.513762e-21	1.117874e-20	1.410313e-20	-2.924393e-21
7             	2.368720e+00	1.184360e+00	1.184360e+00	-1.076783e-01	-5.320412e-02	-5.447420e-02	6.350390e-04	-2.012085e-20	8.164548e-21	1.073022e-20	1.352966e-20	-2.799439e-21
7.5           	2.335489e+00	1.167745e+00	1.167745e+00	-1.086121e-01	-5.351827e-02	-5.509387e-02	7.877995e-04	-1.997162e-20	7.823066e-21	1.031425e-20	1.298019e-20	-2.665940e-21
8             	2.305907e+00	1.152954e+00	1.152954e+00	-1.079193e-01	-5.301706e-02	-5.490222e-02	9.425800e-04	-1.983606e-20	7.495773e-21	9.946390e-21	1.246897e-20	-2.522578e-21
8.5           	2.279329e+00	1.139664e+00	1.139664e+00	-1.056602e-01	-5.173641e-02	-5.392381e-02	1.093701e-03	-1.970681e-20	7.182883e-21	9.618158e-21	1.199196e-20	-2.373804e-21
9             	2.254898e+00	1.127449e+00	1.127449e+00	-1.022135e-01	-4.987147e-02	-5.234199e-02	1.235258e-03	-1.957507e-20	6.884372e-21	9.323517e-21	1.154613e-20	-2.222614e-21
9.5           	2.233078e+00	1.116539e+00	1.116539e+00	-9.781581e-02	-4.754777e-02	-5.026804e-02	1.360140e-03	-1.944075e-20	6.606526e-21	9.070681e-21	1.114187e-20	-2.071186e-21
10            	2.212990e+00	1.106495e+00	1.106495e+00	-9.288641e-02	-4.498332e-02	-4.790308e-02	1.459880e-03	-1.929968e-20	6.346720e-21	8.850688e-21	1.077206e-20	-1.921376e-21
10.5          	2.194788e+00	1.097394e+00	1.097394e+00	-8.778098e-02	-4.236547e-02	-4.541551e-02	1.525017e-03	-1.915110e-20	6.104444e-21	8.669521e-21	1.043920e-20	-1.769684e-21
11            	2.177582e+00	1.088791e+00	1.088791e+00	-8.299555e-02	-3.995052e-02	-4.304503e-02	1.547252e-03	-1.899294e-20	5.876521e-21	8.515696e-21	1.013437e-20	-1.618673e-21
11.5          	2.161453e+00	1.080726e+00	1.080726e+00	-7.895114e-02	-3.795472e-02	-4.099642e-02	1.520851e-03	-1.882679e-20	5.662376e-21	8.390105e-21	9.857428e-21	-1.467323e-21
12            	2.146331e+00	1.073165e+00	1.073165e+00	-7.609946e-02	-3.660750e-02	-3.949196e-02	1.442229e-03	-1.865419e-20	5.460865e-21	8.289510e-21	9.605620e-21	-1.316110e-21
12.5          	2.131882e+00	1.065941e+00	1.065941e+00	-7.487279e-02	-3.612617e-02	-3.874662e-02	1.310223e-03	-1.847483e-20	5.270359e-21	8.208772e-21	9.374745e-21	-1.165973e-21
13            	2.118144e+00	1.059072e+00	1.059072e+00	-7.572154e-02	-3.673441e-02	-3.898713e-02	1.126360e-03	-1.828934e-20	5.089612e-21	8.145546e-21	9.162386e-21	-1.016839e-21
13.5          	2.104844e+00	1.052422e+00	1.052422e+00	-7.858178e-02	-3.839570e-02	-4.018608e-02	8.951926e-04	-1.810066e-20	4.919271e-21	8.094172e-21	8.966357e-21	-8.721845e-22
