# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.5           	2.809393e+00	1.404696e+00	1.404696e+00	-4.992832e-02	-3.509077e-02	-1.483755e-02	-1.012661e-02	-7.083047e-20	5.482295e-20	1.583959e-19	1.340209e-19	2.437498e-20
1             	2.387434e+00	1.193717e+00	1.193717e+00	-2.411640e-02	-1.507865e-02	-9.037747e-03	-3.020451e-03	-1.207838e-19	5.854317e-20	1.505382e-19	1.338122e-19	1.672591e-20
1.5           	2.436780e+00	1.218390e+00	1.218390e+00	-2.578973e-02	-1.418027e-02	-1.160947e-02	-1.285400e-03	-1.888261e-19	6.815844e-20	1.441917e-19	1.402543e-19	3.937401e-21
2             	2.582914e+00	1.291457e+00	1.291457e+00	-3.159230e-02	-1.650403e-02	-1.508827e-02	-7.078784e-04	-2.602976e-19	7.759412e-20	1.382027e-19	1.466955e-19	-8.492747e-21
2.5           	2.711402e+00	1.355701e+00	1.355701e+00	-3.823554e-02	-1.953469e-02	-1.870084e-02	-4.169257e-04	-3.185426e-19	8.451919e-20	1.322772e-19	1.506578e-19	-1.838060e-20
3             	2.783937e+00	1.391968e+00	1.391968e+00	-4.625358e-02	-2.336990e-02	-2.288368e-02	-2.431128e-04	-3.557579e-19	8.843209e-20	1.264069e-19	1.516355e-19	-2.522866e-20
3.5           	2.794866e+00	1.397433e+00	1.397433e+00	-5.709718e-02	-2.863955e-02	-2.845762e-02	-9.096521e-05	-3.730327e-19	8.961809e-20	1.215504e-19	1.503933e-19	-2.884288e-20
4             	2.758008e+00	1.379004e+00	1.379004e+00	-6.942881e-02	-3.465183e-02	-3.477698e-02	6.257659e-05	-3.763398e-19	8.795828e-20	1.165681e-19	1.462423e-19	-2.967421e-20
4.5           	2.693631e+00	1.346816e+00	1.346816e+00	-8.057560e-02	-4.010197e-02	-4.047364e-02	1.858335e-04	-3.726328e-19	8.478606e-20	1.119283e-19	1.407502e-19	-2.882192e-20
5             	2.626481e+00	1.313240e+00	1.313240e+00	-8.886728e-02	-4.414425e-02	-4.472303e-02	2.893857e-04	-3.672872e-19	8.135181e-20	1.081006e-19	1.354021e-19	-2.730150e-20
