# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.5           	2.786873e+00	1.393436e+00	1.393436e+00	-5.864019e-02	-4.233797e-02	-1.630222e-02	-1.301787e-02	1.898040e-19	-6.590845e-21	-4.764894e-21	-8.973292e-21	4.208398e-21
1             	2.468651e+00	1.234326e+00	1.234326e+00	-2.104671e-02	-1.812450e-02	-2.922207e-03	-7.601146e-03	3.366054e-19	-5.750619e-21	4.169419e-21	-3.665910e-21	7.835329e-21
1.5           	2.509395e+00	1.254697e+00	1.254697e+00	-2.048176e-02	-1.470198e-02	-5.779779e-03	-4.461101e-03	4.485407e-19	-1.865212e-21	8.795074e-21	2.532325e-21	6.262749e-21
2             	2.610847e+00	1.305424e+00	1.305424e+00	-2.942946e-02	-1.748771e-02	-1.194175e-02	-2.772982e-03	5.306739e-19	2.714994e-21	1.511282e-20	1.027140e-20	4.841416e-21
2.5           	2.717736e+00	1.358868e+00	1.358868e+00	-3.807822e-02	-2.095563e-02	-1.712259e-02	-1.916517e-03	5.981347e-19	7.248475e-22	1.392908e-20	7.689387e-21	6.239692e-21
3             	2.803905e+00	1.401952e+00	1.401952e+00	-5.360159e-02	-2.811008e-02	-2.549151e-02	-1.309287e-03	6.622624e-19	2.260785e-21	1.041743e-20	7.469502e-21	2.947932e-21
3.5           	2.841234e+00	1.420617e+00	1.420617e+00	-6.560600e-02	-3.363752e-02	-3.196849e-02	-8.345155e-04	7.064067e-19	5.380393e-21	5.428669e-21	8.094727e-21	-2.666058e-21
4             	2.834768e+00	1.417384e+00	1.417384e+00	-7.733697e-02	-3.900397e-02	-3.833300e-02	-3.354829e-04	7.299925e-19	8.143236e-21	4.444927e-21	1.036570e-20	-5.920773e-21
4.5           	2.789465e+00	1.394732e+00	1.394732e+00	-8.421525e-02	-4.205000e-02	-4.216525e-02	5.762334e-05	7.304016e-19	1.052558e-20	4.837370e-21	1.294426e-20	-8.106892e-21
5             	2.713985e+00	1.356993e+00	1.356993e+00	-9.197682e-02	-4.567081e-02	-4.630600e-02	3.175966e-04	7.124483e-19	1.596917e-20	3.344076e-21	1.764120e-20	-1.429713e-20
5.5           	2.633011e+00	1.316505e+00	1.316505e+00	-9.679351e-02	-4.789619e-02	-4.889731e-02	5.005597e-04	6.864808e-19	2.052019e-20	-1.018979e-21	2.001070e-20	-2.102968e-20
6             	2.564207e+00	1.282104e+00	1.282104e+00	-1.038723e-01	-5.124108e-02	-5.263123e-02	6.950775e-04	6.645088e-19	2.429804e-20	-3.606070e-21	2.249500e-20	-2.610107e-20
6.5           	2.510509e+00	1.255254e+00	1.255254e+00	-1.062182e-01	-5.215802e-02	-5.406021e-02	9.510978e-04	6.485901e-19	2.779998e-20	-6.586159e-21	2.450690e-20	-3.109306e-20
7             	2.468829e+00	1.234414e+00	1.234414e+00	-1.067116e-01	-5.211828e-02	-5.459331e-02	1.237515e-03	6.383701e-19	3.204273e-20	-1.133639e-20	2.637454e-20	-3.771092e-20
7.5           	2.436200e+00	1.218100e+00	1.218100e+00	-1.063937e-01	-5.172404e-02	-5.466963e-02	1.472795e-03	6.322059e-19	3.636587e-20	-1.597719e-20	2.837727e-20	-4.435446e-20
8             	2.408540e+00	1.204270e+00	1.204270e+00	-1.051934e-01	-5.099604e-02	-5.419739e-02	1.600674e-03	6.282960e-19	3.957350e-20	-2.041343e-20	2.936679e-20	-4.978022e-20
8.5           	2.382778e+00	1.191389e+00	1.191389e+00	-1.034837e-01	-5.005785e-02	-5.342584e-02	1.683994e-03	6.242809e-19	4.242075e-20	-2.493446e-20	2.995352e-20	-5.488798e-20
9             	2.358336e+00	1.179168e+00	1.179168e+00	-9.920488e-02	-4.782545e-02	-5.137943e-02	1.776993e-03	6.198117e-19	4.483156e-20	-2.989170e-20	2.988571e-20	-5.977741e-20
9.5           	2.335514e+00	1.167757e+00	1.167757e+00	-9.317564e-02	-4.470080e-02	-4.847484e-02	1.887019e-03	6.148662e-19	4.730724e-20	-3.484143e-20	2.988653e-20	-6.472796e-20
10            	2.313884e+00	1.156942e+00	1.156942e+00	-8.802547e-02	-4.204256e-02	-4.598290e-02	1.970168e-03	6.097301e-19	5.063066e-20	-3.988442e-20	3.068845e-20	-7.057287e-20
10.5          	2.293002e+00	1.146501e+00	1.146501e+00	-8.391074e-02	-3.998797e-02	-4.392277e-02	1.967397e-03	6.045222e-19	5.478530e-20	-4.540732e-20	3.208164e-20	-7.748896e-20
11            	2.274950e+00	1.137475e+00	1.137475e+00	-8.305686e-02	-3.968654e-02	-4.337032e-02	1.841889e-03	5.995429e-19	5.923261e-20	-5.073571e-20	3.386475e-20	-8.460046e-20
11.5          	2.257104e+00	1.128552e+00	1.128552e+00	-8.482156e-02	-4.080968e-02	-4.401189e-02	1.601104e-03	5.949673e-19	6.306593e-20	-5.514957e-20	3.549114e-20	-9.064071e-20
12            	2.241554e+00	1.120777e+00	1.120777e+00	-8.863338e-02	-4.301647e-02	-4.561692e-02	1.300225e-03	5.907841e-19	6.609155e-20	-5.853857e-20	3.682226e-20	-9.536083e-20
12.5          	2.226950e+00	1.113475e+00	1.113475e+00	-9.340610e-02	-4.569522e-02	-4.771088e-02	1.007830e-03	5.866652e-19	6.881329e-20	-6.114721e-20	3.823968e-20	-9.938689e-20
13            	2.214028e+00	1.107014e+00	1.107014e+00	-9.831781e-02	-4.839330e-02	-4.992451e-02	7.656072e-04	5.825884e-19	7.165027e-20	-6.335844e-20	3.997105e-20	-1.033295e-19
13.5          	2.200875e+00	1.100437e+00	1.100437e+00	-1.039677e-01	-5.141061e-02	-5.255705e-02	5.732192e-04	5.785326e-19	7.522275e-20	-6.508462e-20	4.268044e-20	-1.077651e-19
14            	2.187251e+00	1.093625e+00	1.093625e+00	-1.083448e-01	-5.377718e-02	-5.456760e-02	3.952074e-04	5.745021e-19	7.891859e-20	-6.694888e-20	4.544415e-20	-1.123930e-19
14.5          	2.175073e+00	1.087536e+00	1.087536e+00	-1.164162e-01	-5.802058e-02	-5.839563e-02	1.875234e-04	5.708049e-19	8.321335e-20	-6.795594e-20	4.923537e-20	-1.171913e-19
15            	2.161968e+00	1.080984e+00	1.080984e+00	-1.259253e-01	-6.303842e-02	-6.288689e-02	-7.576866e-05	5.672821e-19	8.701208e-20	-6.831120e-20	5.285647e-20	-1.211677e-19
15.5          	2.149323e+00	1.074662e+00	1.074662e+00	-1.375284e-01	-6.914855e-02	-6.837986e-02	-3.843450e-04	5.640966e-19	9.006043e-20	-6.767987e-20	5.622050e-20	-1.239004e-19
16            	2.137240e+00	1.068620e+00	1.068620e+00	-1.501222e-01	-7.575551e-02	-7.436666e-02	-6.944253e-04	5.612073e-19	9.216735e-20	-6.599221e-20	5.917124e-20	-1.251635e-19
16.5          	2.126292e+00	1.063146e+00	1.063146e+00	-1.616032e-01	-8.174739e-02	-7.985578e-02	-9.458023e-04	5.586271e-19	9.308883e-20	-6.322535e-20	6.147616e-20	-1.247015e-19
17            	2.116017e+00	1.058008e+00	1.058008e+00	-1.695535e-01	-8.585806e-02	-8.369540e-02	-1.081332e-03	5.564427e-19	9.262420e-20	-5.920789e-20	6.302025e-20	-1.222281e-19
17.5          	2.106898e+00	1.053449e+00	1.053449e+00	-1.736001e-01	-8.786713e-02	-8.573301e-02	-1.067056e-03	5.547888e-19	9.076078e-20	-5.398306e-20	6.376925e-20	-1.177523e-19
18            	2.098453e+00	1.049226e+00	1.049226e+00	-1.711596e-01	-8.647927e-02	-8.468036e-02	-8.994546e-04	5.536303e-19	8.755027e-20	-4.780911e-20	6.364572e-20	-1.114548e-19
18.5          	2.091261e+00	1.045630e+00	1.045630e+00	-1.636213e-01	-8.241318e-02	-8.120811e-02	-6.025346e-04	5.529745e-19	8.319251e-20	-4.125940e-20	6.256281e-20	-1.038222e-19
19            	2.085512e+00	1.042756e+00	1.042756e+00	-1.506934e-01	-7.556917e-02	-7.512426e-02	-2.224550e-04	5.527367e-19	7.783670e-20	-3.463756e-20	6.051792e-20	-9.515549e-20
19.5          	2.079528e+00	1.039764e+00	1.039764e+00	-1.330249e-01	-6.632574e-02	-6.669913e-02	1.866959e-04	5.523486e-19	7.160774e-20	-2.807100e-20	5.757224e-20	-8.564324e-20
20            	2.074836e+00	1.037418e+00	1.037418e+00	-1.123107e-01	-5.558385e-02	-5.672687e-02	5.715061e-04	5.522865e-19	6.450495e-20	-2.177459e-20	5.361765e-20	-7.539224e-20
20.5          	2.069690e+00	1.034845e+00	1.034845e+00	-9.011912e-02	-4.415807e-02	-4.596105e-02	9.014925e-04	5.521788e-19	5.625576e-20	-1.581625e-20	4.834764e-20	-6.416388e-20
21            	2.065381e+00	1.032691e+00	1.032691e+00	-6.647718e-02	-3.206924e-02	-3.440794e-02	1.169348e-03	5.521535e-19	4.708530e-20	-9.927976e-21	4.212131e-20	-5.204929e-20
21.5          	2.060831e+00	1.030416e+00	1.030416e+00	-4.208484e-02	-1.965903e-02	-2.242581e-02	1.383392e-03	5.521954e-19	3.687749e-20	-4.208187e-21	3.477340e-20	-3.898158e-20
22            	2.057108e+00	1.028554e+00	1.028554e+00	-1.622485e-02	-6.549122e-03	-9.675731e-03	1.563304e-03	5.523983e-19	2.597999e-20	1.426533e-21	2.669325e-20	-2.526672e-20
22.5          	2.054650e+00	1.027325e+00	1.027325e+00	8.926627e-03	6.193429e-03	2.733198e-03	1.730115e-03	5.527142e-19	1.459648e-20	6.806364e-21	1.799967e-20	-1.119330e-20
23            	2.053046e+00	1.026523e+00	1.026523e+00	3.580199e-02	1.976569e-02	1.603629e-02	1.864700e-03	5.531180e-19	3.142597e-21	1.189871e-20	9.091953e-21	2.806759e-21
23.5          	2.052963e+00	1.026482e+00	1.026482e+00	6.322930e-02	3.359148e-02	2.963782e-02	1.976831e-03	5.536904e-19	-8.887541e-21	1.723808e-20	-2.685023e-22	1.750658e-20
24            	2.054367e+00	1.027184e+00	1.027184e+00	9.003529e-02	4.707779e-02	4.295750e-02	2.060148e-03	5.543874e-19	-2.063841e-20	2.196064e-20	-9.658091e-21	3.161873e-20
24.5          	2.057178e+00	1.028589e+00	1.028589e+00	1.146117e-01	5.940372e-02	5.520796e-02	2.097879e-03	5.552086e-19	-3.198519e-20	2.634926e-20	-1.881056e-20	4.515982e-20
25            	2.060966e+00	1.030483e+00	1.030483e+00	1.377245e-01	7.093725e-02	6.678727e-02	2.074988e-03	5.560002e-19	-4.276753e-20	2.995934e-20	-2.778786e-20	5.774721e-20
25.5          	2.065612e+00	1.032806e+00	1.032806e+00	1.581590e-01	8.105290e-02	7.710614e-02	1.973378e-03	5.565518e-19	-5.272644e-20	3.283985e-20	-3.630652e-20	6.914637e-20
26            	2.069593e+00	1.034797e+00	1.034797e+00	1.754213e-01	8.951853e-02	8.590281e-02	1.807861e-03	5.568621e-19	-6.166896e-20	3.473233e-20	-4.430280e-20	7.903513e-20
26.5          	2.072905e+00	1.036452e+00	1.036452e+00	1.889913e-01	9.606834e-02	9.292300e-02	1.572673e-03	5.566371e-19	-6.934292e-20	3.581187e-20	-5.143699e-20	8.724886e-20
27            	2.075525e+00	1.037762e+00	1.037762e+00	1.988580e-01	1.006984e-01	9.815968e-02	1.269341e-03	5.558827e-19	-7.562053e-20	3.600282e-20	-5.761912e-20	9.362194e-20
27.5          	2.076140e+00	1.038070e+00	1.038070e+00	2.043613e-01	1.030879e-01	1.012734e-01	9.072210e-04	5.545091e-19	-8.046204e-20	3.531906e-20	-6.280251e-20	9.812158e-20
28            	2.075527e+00	1.037763e+00	1.037763e+00	2.068078e-01	1.039029e-01	1.029050e-01	4.989304e-04	5.526820e-19	-8.373930e-20	3.398546e-20	-6.674657e-20	1.007320e-19
28.5          	2.072725e+00	1.036362e+00	1.036362e+00	2.061460e-01	1.031318e-01	1.030142e-01	5.882187e-05	5.503878e-19	-8.547110e-20	3.204520e-20	-6.944850e-20	1.014937e-19
29            	2.068243e+00	1.034121e+00	1.034121e+00	2.004916e-01	9.984421e-02	1.006474e-01	-4.015707e-04	5.478516e-19	-8.562560e-20	2.967118e-20	-7.079001e-20	1.004612e-19
29.5          	2.063856e+00	1.031928e+00	1.031928e+00	1.901286e-01	9.419216e-02	9.593646e-02	-8.721478e-04	5.452483e-19	-8.427755e-20	2.704632e-20	-7.075439e-20	9.780071e-20
30            	2.057762e+00	1.028881e+00	1.028881e+00	1.793327e-01	8.832247e-02	9.101022e-02	-1.343871e-03	5.427507e-19	-8.175980e-20	2.423613e-20	-6.964173e-20	9.387786e-20
30.5          	2.052683e+00	1.026342e+00	1.026342e+00	1.627188e-01	7.955122e-02	8.316757e-02	-1.808177e-03	5.406454e-19	-7.804145e-20	2.154090e-20	-6.727100e-20	8.881190e-20
31            	2.047963e+00	1.023981e+00	1.023981e+00	1.441927e-01	6.984344e-02	7.434923e-02	-2.252894e-03	5.390343e-19	-7.345038e-20	1.909560e-20	-6.390259e-20	8.299818e-20
31.5          	2.044707e+00	1.022354e+00	1.022354e+00	1.232964e-01	5.898197e-02	6.431439e-02	-2.666210e-03	5.380070e-19	-6.829653e-20	1.693274e-20	-5.983016e-20	7.676290e-20
32            	2.042851e+00	1.021425e+00	1.021425e+00	1.000257e-01	4.698336e-02	5.304237e-02	-3.029502e-03	5.376333e-19	-6.264527e-20	1.533659e-20	-5.497697e-20	7.031356e-20
32.5          	2.043255e+00	1.021628e+00	1.021628e+00	7.550024e-02	3.442875e-02	4.107149e-02	-3.321368e-03	5.379218e-19	-5.674077e-20	1.441785e-20	-4.953184e-20	6.394969e-20
33            	2.044849e+00	1.022425e+00	1.022425e+00	5.172350e-02	2.234098e-02	2.938252e-02	-3.520772e-03	5.387658e-19	-5.091517e-20	1.426161e-20	-4.378437e-20	5.804598e-20
33.5          	2.049100e+00	1.024550e+00	1.024550e+00	2.566097e-02	9.224153e-03	1.643682e-02	-3.606331e-03	5.401394e-19	-4.526277e-20	1.501637e-20	-3.775459e-20	5.277096e-20
34            	2.053361e+00	1.026680e+00	1.026680e+00	3.117541e-03	-1.999184e-03	5.116724e-03	-3.557954e-03	5.418819e-19	-4.014070e-20	1.674084e-20	-3.177028e-20	4.851112e-20
34.5          	2.061010e+00	1.030505e+00	1.030505e+00	-1.809284e-02	-1.241210e-02	-5.680743e-03	-3.365678e-03	5.439221e-19	-3.568490e-20	1.928959e-20	-2.604010e-20	4.532969e-20
35            	2.068389e+00	1.034195e+00	1.034195e+00	-3.695054e-02	-2.149848e-02	-1.545206e-02	-3.023208e-03	5.459274e-19	-3.201027e-20	2.258427e-20	-2.071813e-20	4.330241e-20
35.5          	2.076586e+00	1.038293e+00	1.038293e+00	-5.162205e-02	-2.834151e-02	-2.328054e-02	-2.530482e-03	5.478551e-19	-2.920693e-20	2.655388e-20	-1.592999e-20	4.248387e-20
36            	2.085142e+00	1.042571e+00	1.042571e+00	-6.331648e-02	-3.355534e-02	-2.976114e-02	-1.897099e-03	5.495863e-19	-2.742824e-20	3.094350e-20	-1.195649e-20	4.289999e-20
36.5          	2.093751e+00	1.046875e+00	1.046875e+00	-6.838638e-02	-3.533351e-02	-3.305287e-02	-1.140318e-03	5.509738e-19	-2.672127e-20	3.555889e-20	-8.941825e-21	4.450071e-20
37            	2.101333e+00	1.050666e+00	1.050666e+00	-7.079340e-02	-3.567943e-02	-3.511397e-02	-2.827307e-04	5.519738e-19	-2.710635e-20	4.011508e-20	-7.048805e-21	4.716389e-20
37.5          	2.109709e+00	1.054854e+00	1.054854e+00	-6.697520e-02	-3.283919e-02	-3.413601e-02	6.484105e-04	5.526281e-19	-2.849211e-20	4.438317e-20	-6.300531e-21	5.068370e-20
38            	2.116589e+00	1.058294e+00	1.058294e+00	-5.579174e-02	-2.627487e-02	-2.951687e-02	1.620997e-03	5.529538e-19	-3.089551e-20	4.801672e-20	-6.887146e-21	5.490387e-20
38.5          	2.124942e+00	1.062471e+00	1.062471e+00	-4.077860e-02	-1.779319e-02	-2.298541e-02	2.596109e-03	5.531222e-19	-3.421873e-20	5.074414e-20	-8.846657e-21	5.959080e-20
39            	2.131008e+00	1.065504e+00	1.065504e+00	-1.916656e-02	-6.050723e-03	-1.311584e-02	3.532559e-03	5.529696e-19	-3.816559e-20	5.248562e-20	-1.192277e-20	6.440840e-20
39.5          	2.137441e+00	1.068721e+00	1.068721e+00	1.221046e-02	1.049452e-02	1.715940e-03	4.389291e-03	5.528268e-19	-4.270171e-20	5.292606e-20	-1.623868e-20	6.916474e-20
40            	2.143844e+00	1.071922e+00	1.071922e+00	4.720974e-02	2.872118e-02	1.848856e-02	5.116308e-03	5.526549e-19	-4.769114e-20	5.201469e-20	-2.168379e-20	7.369848e-20
40.5          	2.150751e+00	1.075376e+00	1.075376e+00	8.723348e-02	4.928545e-02	3.794803e-02	5.668712e-03	5.527111e-19	-5.307555e-20	4.950936e-20	-2.832087e-20	7.783024e-20
41            	2.158321e+00	1.079160e+00	1.079160e+00	1.342639e-01	7.313783e-02	6.112603e-02	6.005900e-03	5.530464e-19	-5.860077e-20	4.556780e-20	-3.581687e-20	8.138467e-20
